# k Pk
1.000000000000000021e-02 4.880707342007531406e+04
1.009052805738436080e-02 4.897495009877994744e+04
1.018187564768610436e-02 4.914110080464553903e+04
1.027405018997752315e-02 4.930548426983120589e+04
1.036705917049433184e-02 4.946805883890316181e+04
1.046091014324368809e-02 4.962878246880022198e+04
1.055561073061771389e-02 4.978761272896909941e+04
1.065116862401255075e-02 4.994450680168522376e+04
1.074759158445306138e-02 5.009942148257471126e+04
1.084488744322316400e-02 5.025231318135592301e+04
1.094306410250187392e-02 5.040313792281818314e+04
1.104212953600508008e-02 5.055185134805842245e+04
1.114209178963318156e-02 5.069840871599603270e+04
1.124295898212455264e-02 5.084276490518840728e+04
1.134473930571493552e-02 5.098487441597124416e+04
1.144744102680277792e-02 5.112469137294787652e+04
1.155107248662062651e-02 5.126216952785469039e+04
1.165564210191259546e-02 5.139726226283045980e+04
1.176115836561795330e-02 5.152992259411836858e+04
1.186762984756087845e-02 5.166010317623316951e+04
1.197506519514651181e-02 5.178775630662446201e+04
1.208347313406328040e-02 5.191283393087193690e+04
1.219286246899157176e-02 5.203528764844745456e+04
1.230324208431882518e-02 5.215506871908263565e+04
1.241462094486111417e-02 5.227212806978074514e+04
1.252700809659126023e-02 5.238641630251499009e+04
1.264041266737352294e-02 5.249788370265590493e+04
1.275484386770492709e-02 5.260648024817326950e+04
1.287031099146334137e-02 5.271215561965915549e+04
1.298682341666231727e-02 5.281485921122142463e+04
1.310439060621273848e-02 5.291454014229798486e+04
1.322302210869137455e-02 5.301114727044461324e+04
1.334272755911640289e-02 5.310462920515081350e+04
1.346351667972995984e-02 5.319493432274000224e+04
1.358539928078775390e-02 5.328201078241204959e+04
1.370838526135582068e-02 5.336580654348836106e+04
1.383248461011451526e-02 5.344626938392024022e+04
1.395770740616978679e-02 5.352334692012490996e+04
1.408406381987177894e-02 5.359698662821260950e+04
1.421156411364082016e-02 5.366713586667152413e+04
1.434021864280093927e-02 5.373374190057811211e+04
1.447003785642091318e-02 5.379675192740002967e+04
1.460103229816291440e-02 5.385611310446285643e+04
1.473321260713882086e-02 5.391177257814930636e+04
1.486658951877432508e-02 5.396367751490232331e+04
1.500117386568085645e-02 5.401177513410302345e+04
1.513697657853537576e-02 5.405601274289446883e+04
1.527400868696811992e-02 5.409633777302218368e+04
1.541228132045842705e-02 5.413269781976152444e+04
1.555180570923866273e-02 5.416504068300133076e+04
1.569259318520630983e-02 5.419331441055214964e+04
1.583465518284429482e-02 5.421746734374477819e+04
1.597800324014970325e-02 5.423744816538367741e+04
1.612264899957087730e-02 5.425320595011670957e+04
1.626860420895298934e-02 5.426469021727976360e+04
1.641588072249215366e-02 5.427185098627005937e+04
1.656449050169821191e-02 5.427463883449964487e+04
1.671444561636625109e-02 5.427300495797394979e+04
1.686575824555687844e-02 5.426690123453494016e+04
1.701844067858533649e-02 5.425628028980342788e+04
1.717250531601966640e-02 5.424109556584619713e+04
1.732796467068785373e-02 5.422130139258811687e+04
1.748483136869408150e-02 5.419685306197852333e+04
1.764311815044419113e-02 5.416770690491426649e+04
1.780283787168043461e-02 5.413382037090957601e+04
1.796400350452562883e-02 5.409515211049390928e+04
1.812662813853669133e-02 5.405166206030526519e+04
1.829072498176774128e-02 5.400331153083559184e+04
1.845630736184284554e-02 5.395006329676964378e+04
1.862338872703847223e-02 5.389188168984591175e+04
1.879198264737574203e-02 5.382873269415135292e+04
1.896210281572250494e-02 5.376058404374685779e+04
1.913376304890548885e-02 5.368740532250250544e+04
1.930697728883249559e-02 5.360916806600412383e+04
1.948175960362470358e-02 5.352584586537498399e+04
1.965812418875923645e-02 5.343741447283526941e+04
1.983608536822212276e-02 5.334385190880429582e+04
